PART_NUM,DEAL_REG_GROUP,START_DATE,END_DATE,ACTIVE_FLAG,ADD_DATE,MODIFIED_Date
SWPT000164,Integration Solutions,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000165,Integration Solutions,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000165,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:22 PM,7/11/2019 5:02:22 PM
SWPT000166,Integration Solutions,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000166,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:22 PM,7/11/2019 5:02:22 PM
SWPT000178,Integration Solutions,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000178,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:22 PM,7/11/2019 5:02:22 PM
SWPT000179,Integration Solutions,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000179,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:22 PM,7/11/2019 5:02:22 PM
SWPT000180,Integration Solutions,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000180,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:22 PM,7/11/2019 5:02:22 PM
SWPT000796,Integration Solutions,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT000796,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:22 PM,7/11/2019 5:02:22 PM
SWPT001738,Integration Solutions,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT001743,Integration Solutions,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
SWPT001770,Integration Solutions,2019-06-06-00.00.00.000000,9999-12-31-00.00.00.000000,Y,2019-07-11-17.02.22.000000,2019-07-11-17.02.22.000000
